Unnamed: 0,Company,CIK,Revenue,NetIncome,Assets,Liabilities,Cash,Risk Level,Data_Completeness
238,Fox Corp,1754301,14.91,0.98,23.2,9.445,0.3725,Low Risk,40.0
239,"C. H. ROBINSON WORLDWIDE, INC.",1043277,14.87,0.59,5.06,3.21,0.16,Medium Risk,100.0
240,"RELIANCE, INC.",861884,14.81,0.74,10.37,3.19,0.22,Low Risk,100.0
241,TEXTRON INC,217346,14.8,0.92,18.13,10.25,1.26,Medium Risk,100.0
242,Trane Technologies plc,1466258,14.78,2.92,21.42,12.82,1.76,Medium Risk,100.0
243,ILLINOIS TOOL WORKS INC,49826,14.77,0.98,16.15,9.445,0.85,Low Risk,60.0
244,"Expedia Group, Inc.",1324424,14.73,1.29,24.45,9.445,5.41,Low Risk,80.0
245,BERKLEY W R CORP,11544,14.71,1.78,44.07,34.36,2.54,Medium Risk,100.0
246,APPLIED MATERIALS INC /DE,6951,14.61,7.0,36.3,15.88,7.24,Low Risk,100.0
247,Aramark,1584509,14.6,0.33,13.3,9.445,0.64,Low Risk,80.0
248,WASTE MANAGEMENT INC,823768,14.48,2.71,45.84,35.84,0.2,Medium Risk,100.0
249,"Fidelity National Financial, Inc.",1331875,14.45,0.6,109.01,100.04,2.64,High Risk,100.0
250,Blackstone Inc.,1393818,14.45,3.02,47.71,25.83,2.63,Medium Risk,100.0
251,Otis Worldwide Corp,1781335,14.43,1.38,10.65,15.92,1.1,High Risk,100.0
252,ESTEE LAUDER COMPANIES INC,1001250,14.33,0.68,19.89,8.74,2.18,Low Risk,100.0
253,BORGWARNER INC,908255,14.32,0.28,13.77,8.15,1.84,Medium Risk,100.0
254,MASTEC INC,15615,14.3,0.4,9.92,6.59,0.4,Medium Risk,100.0
255,Parker-Hannifin Corp,76334,14.3,2.84,29.49,15.8,0.47,Medium Risk,100.0
256,Viatris Inc,1792044,14.3,0.0,37.19,22.48,1.32,Medium Risk,100.0
257,NEXTERA ENERGY INC,753308,14.26,6.83,212.72,146.24,2.81,Medium Risk,100.0
258,LABCORP HOLDINGS INC.,920148,13.95,0.88,18.39,9.76,0.53,Medium Risk,100.0
259,STATE STREET CORP,93751,13.94,2.94,366.05,338.21,0.3725,High Risk,80.0
260,"Venture Global, Inc.",2007855,13.77,0.98,53.45,41.45,2.35,Medium Risk,80.0
261,"DoorDash, Inc.",1792789,13.72,0.94,19.66,9.61,4.38,Low Risk,100.0
262,SEMPRA,1032208,13.7,1.84,110.88,9.445,0.03,Low Risk,80.0
263,DAVITA INC.,927066,13.64,0.75,17.48,16.32,0.68,High Risk,100.0
264,EVERSOURCE ENERGY,72741,13.55,-0.43,63.79,9.445,0.14,Low Risk,80.0
265,"DICK'S SPORTING GOODS, INC.",1089063,13.44,0.18,10.46,9.445,1.69,Low Risk,80.0
266,Unum Group,5513,13.08,0.74,63.52,52.4,0.3725,High Risk,80.0
267,LAS VEGAS SANDS CORP,1300514,13.02,1.63,21.92,19.99,3.84,High Risk,100.0
268,MPLX LP,1552000,13.0,3.93,43.01,28.48,2.14,Medium Risk,100.0
269,ENTERGY CORP /DE/,65984,12.95,2.36,71.89,9.445,1.93,Low Risk,80.0
270,RENAISSANCERE HOLDINGS LTD,913144,12.85,2.68,53.8,34.59,1.73,Medium Risk,100.0
271,Alcoa Corp,1675149,12.83,1.16,16.13,9.94,1.6,Medium Risk,100.0
272,"ASSURANT, INC.",1267238,12.81,0.87,36.29,30.42,1.83,High Risk,100.0
273,"BlackRock, Inc.",2012383,12.79,5.55,170.0,108.46,11.47,Medium Risk,100.0
274,CINCINNATI FINANCIAL CORP,20286,12.63,2.39,41.0,25.09,1.14,Medium Risk,100.0
275,DTE ENERGY CO,936340,12.61,1.46,54.07,9.445,0.21,Low Risk,80.0
276,"HUNTINGTON INGALLS INDUSTRIES, INC.",1501585,12.48,0.6,12.75,7.68,0.63,Medium Risk,100.0
277,CELESTICA INC,1030894,12.39,0.83,7.21,5.0,0.6,Medium Risk,100.0
278,NXP Semiconductors N.V.,1413447,12.27,2.02,26.56,9.445,3.27,Low Risk,80.0
279,Paramount Skydance Corp,2041610,12.27,-0.59,43.34,9.445,3.27,Low Risk,80.0
280,"Airbnb, Inc.",1559720,12.24,2.51,22.21,14.01,6.56,Medium Risk,100.0
281,AES CORP,874761,12.23,0.91,51.77,9.445,1.38,Low Risk,80.0
282,PUBLIC SERVICE ENTERPRISE GROUP INC,788784,12.17,2.11,57.58,9.445,0.13,Low Risk,80.0
283,KLA CORP,319201,12.16,4.06,16.07,11.38,2.08,Medium Risk,100.0
284,EXPAND ENERGY Corp,895126,12.12,1.82,28.29,9.71,0.62,Low Risk,100.0
285,DARDEN RESTAURANTS INC,940944,12.08,1.05,12.59,10.28,0.24,High Risk,100.0
286,"Air Products & Chemicals, Inc.",2969,12.04,-0.39,41.06,23.71,1.86,Medium Risk,100.0
287,Hilton Worldwide Holdings Inc.,1585689,12.04,1.46,16.77,22.12,0.92,High Risk,100.0
288,Booz Allen Hamilton Holding Corp,1443646,11.98,0.94,7.31,6.31,0.89,High Risk,100.0
289,"WILLIAMS COMPANIES, INC.",107263,11.95,2.62,58.57,9.445,0.15,Low Risk,80.0
290,CHIPOTLE MEXICAN GRILL INC,1058090,11.93,1.54,8.99,6.16,0.35,Medium Risk,100.0
291,"Chewy, Inc.",1766502,11.86,0.39,3.01,2.75,0.6,High Risk,100.0
292,Amrize Ltd,2035989,11.81,1.19,24.25,10.99,1.92,Low Risk,100.0
293,"Yum China Holdings, Inc.",1673358,11.8,0.93,10.78,4.68,0.51,Low Risk,100.0
294,"Equitable Holdings, Inc.",1333986,11.66,-1.38,317.99,316.2,12.46,High Risk,100.0
295,"CROWN HOLDINGS, INC.",1219601,11.66,0.74,14.27,9.445,0.76,Low Risk,80.0
296,SHOPIFY INC.,1594805,11.56,1.23,15.19,9.445,1.54,Low Risk,80.0
297,XCEL ENERGY INC,72903,11.54,2.02,81.37,9.445,0.13,Low Risk,80.0
298,"Ulta Beauty, Inc.",1403568,11.3,1.2,6.0,3.51,0.7,Medium Risk,100.0
299,WESTLAKE CORP,1262823,11.17,-1.51,19.96,10.67,2.72,Medium Risk,100.0
300,QUEST DIAGNOSTICS INC,1022079,11.04,0.99,16.23,9.445,0.42,Low Risk,80.0
301,BALL Corp,9389,10.98,0.44,19.52,14.1,1.21,Medium Risk,100.0
302,INTERNATIONAL FLAVORS & FRAGRANCES INC,51253,10.89,0.34,25.54,9.445,0.59,Low Risk,80.0
303,WELLTOWER INC.,766704,10.84,0.22,67.3,24.1,5.03,Low Risk,100.0
304,CDW Corp,1402057,10.77,1.07,16.03,5.97,0.62,Low Risk,100.0
305,Aon plc,315293,10.77,3.69,50.78,41.24,1.2,High Risk,100.0
306,"Cheniere Energy Partners, L.P.",1383650,10.76,2.99,17.44,17.02,0.18,High Risk,100.0
307,"DELTA AIR LINES, INC.",27904,10.74,5.0,81.32,9.445,4.31,Low Risk,80.0
308,"Fidelity National Information Services, Inc.",1136893,10.68,0.38,33.49,19.59,0.6,Medium Risk,100.0
309,CSX CORP,277948,10.64,2.89,43.68,30.52,1.96,Medium Risk,100.0
310,AMERICAN TOWER CORP /MA/,1053507,10.64,1.69,63.19,52.84,1.47,High Risk,100.0
311,"Burlington Stores, Inc.",1579298,10.63,0.5,8.77,9.445,0.99,Low Risk,80.0
312,lululemon athletica inc.,1397187,10.59,1.81,7.6,3.28,0.88,Low Risk,100.0
313,"Warner Bros. Discovery, Inc.",1437107,10.55,0.73,100.08,62.92,4.57,Medium Risk,100.0
314,NORFOLK SOUTHERN CORP,702165,10.55,2.87,45.24,29.69,1.53,Medium Risk,100.0
315,NVR INC,906163,10.32,1.34,5.86,1.99,2.81,Low Risk,100.0
316,"CONSTELLATION BRANDS, INC.",16918,10.21,-0.08,21.65,14.52,0.07,Medium Risk,100.0
317,INTUITIVE SURGICAL INC,1035267,10.06,2.86,20.46,2.52,3.37,Low Risk,100.0
318,TechnipFMC plc,1681459,9.93,0.96,10.12,6.71,1.03,Medium Risk,100.0
319,Johnson Controls International plc,833444,9.9,3.29,37.94,8.24,0.38,Low Risk,100.0
320,BIOGEN INC.,875045,9.89,1.29,29.44,11.18,2.91,Low Risk,100.0
321,MGM Resorts International,789570,9.81,0.21,41.37,38.1,2.06,High Risk,100.0
322,"WEC ENERGY GROUP, INC.",783325,9.8,0.64,51.52,9.445,0.03,Low Risk,80.0
323,IQVIA HOLDINGS INC.,1478242,9.74,1.36,29.94,23.31,1.98,Medium Risk,100.0
324,WILLIS TOWERS WATSON PLC,1140536,9.71,1.6,29.53,21.48,3.13,Medium Risk,100.0
325,M&T BANK CORP,36270,9.64,2.85,213.51,184.33,1.42,High Risk,100.0
326,FIRST CITIZENS BANCSHARES INC /DE/,798941,9.54,2.21,229.7,207.46,9.03,High Risk,100.0
327,WESTERN DIGITAL CORP,106040,9.52,1.89,14.0,8.46,2.11,Medium Risk,100.0
328,Zoetis Inc.,1555280,9.47,2.67,15.47,12.14,1.56,Medium Risk,100.0
329,"Waste Connections, Inc.",1318220,9.47,1.08,21.13,12.88,0.05,Medium Risk,100.0
330,Restaurant Brands International Inc.,1618756,9.43,0.14,25.61,20.46,0.91,Medium Risk,100.0
331,CENTERPOINT ENERGY INC,1130310,9.36,1.05,46.53,9.445,0.04,Low Risk,80.0
332,HORMEL FOODS CORP /DE/,48465,9.17,0.48,13.39,9.445,0.67,Low Risk,80.0
333,OLD REPUBLIC INTERNATIONAL CORP,74260,9.14,0.94,29.86,23.93,0.3725,High Risk,80.0
334,COMFORT SYSTEMS USA INC,1035983,9.1,1.02,6.44,3.99,0.98,Medium Risk,100.0
335,BOSTON SCIENTIFIC CORP,885725,9.08,0.98,43.67,9.445,1.97,Low Risk,60.0
336,PPL Corp,922224,9.04,1.18,45.24,9.445,1.07,Low Risk,80.0
337,Xylem Inc.,1524472,9.04,0.96,17.63,5.88,1.48,Low Risk,100.0
338,"Arista Networks, Inc.",1596532,9.01,3.51,19.45,7.08,1.96,Low Risk,100.0
339,PACKAGING CORP OF AMERICA,75677,8.99,0.77,10.73,9.445,0.53,Low Risk,80.0
340,Ovintiv Inc.,1792580,8.91,1.24,20.39,9.2,0.04,Low Risk,100.0
341,Avery Dennison Corp,8818,8.86,0.69,8.8,9.445,0.2,Low Risk,80.0
342,TransDigm Group INC,1260221,8.83,2.07,22.91,32.59,2.81,High Risk,100.0
343,AMEREN CORP,1002910,8.8,0.52,48.48,9.445,0.01,Low Risk,80.0
344,"Prologis, Inc.",1045609,8.79,3.33,98.72,40.97,1.15,Low Risk,100.0
345,EQT Corp,33213,8.64,2.04,41.79,14.43,0.11,Low Risk,100.0
346,CMS ENERGY CORP,811156,8.54,1.07,39.94,9.445,0.51,Low Risk,80.0
347,NEWS CORP,1564708,8.45,1.18,15.5,9.445,2.4,Low Risk,80.0
348,"Salesforce, Inc.",1108524,8.39,7.46,112.31,53.16,7.33,Low Risk,100.0
349,WESCO INTERNATIONAL INC,929008,8.36,0.64,16.49,11.47,0.21,Medium Risk,100.0
350,Solventum Corp,1964738,8.32,1.56,14.29,9.24,0.88,Medium Risk,100.0
351,Monster Beverage Corp,865752,8.29,0.98,9.99,9.445,2.09,Low Risk,60.0
352,Howmet Aerospace Inc.,4281,8.25,1.51,11.18,5.83,0.74,Medium Risk,100.0
353,CITIZENS FINANCIAL GROUP INC/RI,759944,8.25,1.83,226.35,200.03,4.07,High Risk,100.0
354,"ZIMMER BIOMET HOLDINGS, INC.",1136869,8.23,0.71,23.09,10.39,0.59,Low Risk,100.0
355,YUM BRANDS INC,1041061,8.21,1.56,8.2,15.52,0.71,High Risk,100.0
356,FASTENAL CO,815556,8.2,1.26,5.05,9.445,0.28,Low Risk,80.0
357,"Marvell Technology, Inc.",1835632,8.19,2.67,22.29,7.98,2.64,Low Risk,100.0
358,AMERICAN FINANCIAL GROUP INC,1042046,8.17,0.84,32.64,27.82,1.73,High Risk,100.0
359,HERSHEY CO,47111,8.15,0.88,13.74,9.1,0.59,Medium Risk,100.0
360,NORTHERN TRUST CORP,73124,8.09,1.74,177.13,164.17,0.3725,High Risk,80.0
361,Liberty Media Corp,1560385,8.04,0.56,15.4,6.95,1.05,Low Risk,100.0
362,Ally Financial Inc.,40729,7.91,0.85,196.0,180.5,10.03,High Risk,100.0
363,APi Group Corp,1796209,7.91,0.3,8.94,5.53,0.91,Medium Risk,100.0
364,ROPER TECHNOLOGIES INC,882835,7.9,1.54,34.58,14.7,0.3,Low Risk,100.0
365,Vulcan Materials CO,1396009,7.78,1.08,16.7,8.15,0.18,Low Risk,100.0
366,"XPO, Inc.",1166003,7.74,0.32,8.19,9.445,0.31,Low Risk,80.0
367,WILLIAMS SONOMA INC,719955,7.71,1.13,5.3,3.16,1.21,Medium Risk,100.0
368,OSHKOSH CORP,775158,7.71,0.23,10.07,9.445,0.48,Low Risk,80.0
369,Coterra Energy Inc.,858470,7.64,1.72,24.24,9.39,0.11,Low Risk,100.0
370,MASCO CORP /DE/,62996,7.56,0.81,5.2,5.12,0.65,High Risk,100.0
371,KEYCORP /NEW/,91576,7.51,1.83,184.38,164.0,0.3725,High Risk,80.0
372,ELECTRONIC ARTS INC.,712515,7.46,1.12,12.37,5.98,2.73,Low Risk,100.0
373,"Core & Main, Inc.",1856525,7.44,0.41,5.87,4.1,0.01,Medium Risk,100.0
374,AMETEK INC/,1037868,7.4,1.48,16.07,5.44,0.46,Low Risk,100.0
375,Seagate Technology Holdings plc,1137789,7.38,1.47,8.02,8.48,0.89,High Risk,100.0
376,Sandisk Corp,2023554,7.36,-1.64,12.98,3.77,1.48,Low Risk,100.0
377,GARMIN LTD,1121788,7.25,1.66,10.99,9.445,2.28,Low Risk,80.0
378,WATSCO INC,105016,7.24,0.5,4.41,9.445,0.43,Low Risk,80.0
379,"Coca-Cola Consolidated, Inc.",317540,7.23,0.57,4.3,5.04,0.28,High Risk,100.0
380,"Autodesk, Inc.",769397,7.21,1.12,12.47,9.445,2.25,Low Risk,80.0
381,HUNT J B TRANSPORT SERVICES INC,728535,7.19,0.6,7.93,4.36,0.02,Medium Risk,100.0
382,"Coinbase Global, Inc.",1679788,7.18,1.26,29.67,14.88,11.29,Medium Risk,100.0
383,"Toll Brothers, Inc.",794170,7.14,1.35,14.52,6.23,1.26,Low Risk,100.0
384,RALPH LAUREN CORP,1037038,7.08,0.74,7.05,4.46,1.92,Medium Risk,100.0
385,"CF Industries Holdings, Inc.",1324404,7.08,1.54,14.09,9.445,0.29,Low Risk,80.0
386,EXPEDITORS INTERNATIONAL OF WASHINGTON INC,746515,6.92,0.81,4.89,9.445,1.31,Low Risk,80.0
387,WEYERHAEUSER CO,106535,6.91,0.32,16.61,7.19,0.46,Low Risk,100.0
388,MCCORMICK & CO INC,63754,6.84,0.79,13.2,7.43,0.1,Medium Risk,100.0
389,"Fortinet, Inc.",1262039,6.8,1.85,10.39,9.15,2.5,High Risk,100.0
390,WYNN RESORTS LTD,1174922,6.72,0.33,13.11,14.14,1.46,High Risk,100.0
391,NEWMONT Corp /DE/,1164727,6.71,7.08,57.12,23.08,7.65,Low Risk,100.0
392,Gen Digital Inc.,849399,6.68,0.64,15.49,13.23,1.01,High Risk,100.0
393,"ROCKWELL AUTOMATION, INC",1024478,6.67,0.87,11.22,9.445,0.47,Low Risk,80.0
394,SOUTHERN COPPER CORP/,1001838,6.65,2.34,21.38,9.445,4.3,Low Risk,80.0
395,CME GROUP INC.,1156375,6.52,4.07,198.42,169.7,4.42,High Risk,100.0
396,Fortive Corp,1659166,6.45,0.58,11.74,9.445,0.38,Low Risk,80.0
397,"SharkNinja, Inc.",1957132,6.4,0.7,5.35,2.67,0.78,Low Risk,100.0
398,"Motorola Solutions, Inc.",68505,6.38,2.15,19.39,9.445,1.17,Low Risk,80.0
399,SIMON PROPERTY GROUP INC.,1063761,6.36,0.98,40.61,33.9,0.82,High Risk,80.0
400,STIFEL FINANCIAL CORP,720672,6.35,0.68,41.27,35.29,2.25,High Risk,100.0
401,"NetApp, Inc.",1002047,6.23,1.19,10.82,9.78,2.74,High Risk,100.0
402,ANALOG DEVICES INC,6281,6.2,2.27,47.99,9.445,2.5,Low Risk,80.0
403,CHURCH & DWIGHT CO INC /DE/,313927,6.2,0.74,8.91,4.91,0.41,Medium Risk,100.0
404,"L3HARRIS TECHNOLOGIES, INC. /DE/",202058,6.18,1.61,41.2,21.56,1.07,Medium Risk,100.0
405,MARTIN MARIETTA MATERIALS INC,916076,6.15,1.14,18.71,8.68,0.07,Low Risk,100.0
406,"Toast, Inc.",1650164,6.15,0.34,3.15,1.02,1.35,Low Risk,100.0
407,CLOROX CO /DE/,21076,6.12,0.81,5.56,5.08,0.17,High Risk,100.0
408,"DIGITAL REALTY TRUST, INC.",1297996,6.11,1.31,49.41,24.56,3.45,Low Risk,100.0
409,EQUIFAX INC,33185,6.07,0.66,11.86,7.13,0.18,Medium Risk,100.0
410,Edwards Lifesciences Corp,1099800,6.07,1.07,13.7,3.36,2.94,Low Risk,100.0
411,"StandardAero, Inc.",2025410,6.06,0.28,6.56,3.89,0.3725,Medium Risk,80.0
412,S&P Global Inc.,64040,6.06,4.47,61.2,25.05,1.75,Low Risk,100.0
413,DraftKings Inc.,1883685,6.05,0.0,4.53,3.9,1.13,High Risk,100.0
414,EQUINIX INC,1101239,6.0,1.35,40.14,25.96,1.73,Medium Risk,100.0
415,GLOBE LIFE INC.,320335,5.99,1.16,30.81,24.84,0.06,High Risk,100.0
416,"Evergy, Inc.",1711269,5.96,0.86,33.95,9.445,0.02,Low Risk,80.0
417,Encompass Health Corp,785161,5.94,0.57,7.09,3.81,0.07,Medium Risk,100.0
418,"BROWN & BROWN, INC.",79282,5.9,1.05,29.99,3.86,1.08,Low Risk,100.0
419,"TAPESTRY, INC.",1116132,5.88,0.18,6.58,5.72,1.1,High Risk,100.0
420,"PENSKE AUTOMOTIVE GROUP, INC.",1019849,5.88,0.94,17.6,12.02,0.06,Medium Risk,100.0
421,"Texas Roadhouse, Inc.",1289460,5.88,0.27,3.55,2.07,0.13,Medium Risk,100.0
422,"REGENERON PHARMACEUTICALS, INC.",872589,5.87,4.5,40.56,9.3,3.12,Low Risk,100.0
423,HUBBELL INC,48898,5.84,0.89,8.23,4.37,0.48,Medium Risk,100.0
424,"Intercontinental Exchange, Inc.",1571949,5.83,3.31,136.89,107.9,0.84,Medium Risk,100.0
425,"Ventas, Inc.",740260,5.83,0.27,27.59,14.63,0.74,Medium Risk,100.0
426,FRANKLIN RESOURCES INC,38777,5.77,0.52,32.37,18.18,4.65,Medium Risk,100.0
427,REALTY INCOME CORP,726728,5.75,1.06,72.8,32.67,0.43,Low Risk,100.0
428,TAKE TWO INTERACTIVE SOFTWARE INC,946581,5.63,-2.9459999999999997,9.18,7.04,1.46,Medium Risk,100.0
429,PAYCHEX INC,723531,5.57,0.67,16.56,12.44,1.63,Medium Risk,100.0
430,Veralto Corp,1967680,5.5,0.94,7.69,9.445,2.03,Low Risk,80.0
431,AppLovin Corp,1751008,5.48,3.33,7.26,5.12,2.49,Medium Risk,100.0
432,STERIS plc,1757898,5.46,0.61,10.15,3.53,0.22,Low Risk,100.0
433,ZEBRA TECHNOLOGIES CORP,877212,5.4,0.42,8.5,4.91,0.12,Medium Risk,100.0
434,"Rivian Automotive, Inc. / DE",1874178,5.39,-2.9459999999999997,14.86,10.27,3.58,Medium Risk,100.0
435,"HOST HOTELS & RESORTS, INC.",1070750,5.39,0.77,13.05,6.32,0.77,Low Risk,100.0
436,"Keysight Technologies, Inc.",1601046,5.38,0.85,11.3,5.42,1.87,Low Risk,100.0
437,"HASBRO, INC.",46080,5.37,-0.32,5.55,4.99,4.58,High Risk,100.0
438,"Lineage, Inc.",1868159,5.36,-0.1,19.18,9.94,0.17,Medium Risk,100.0
439,MICROCHIP TECHNOLOGY INC,827054,5.35,-0.0,15.37,9.445,0.77,Low Risk,80.0
440,PINNACLE WEST CAPITAL CORP,764622,5.34,0.35,30.03,9.445,0.01,Low Risk,80.0
441,RPM INTERNATIONAL INC/DE/,110621,5.32,0.69,7.78,9.445,0.3,Low Risk,80.0
442,Invesco Ltd.,914208,5.31,0.54,27.09,14.09,1.04,Medium Risk,100.0
443,CADENCE DESIGN SYSTEMS INC,813672,5.3,1.11,10.15,9.445,3.0,Low Risk,80.0
444,ANTERO RESOURCES Corp,1433270,5.28,0.68,13.25,5.53,0.03,Low Risk,100.0
445,Atlassian Corp,1650372,5.22,-0.26,6.04,4.7,2.51,Medium Risk,100.0
446,"FIRST SOLAR, INC.",1274494,5.22,1.53,13.32,3.78,2.8,Low Risk,100.0
447,LENNOX INTERNATIONAL INC,1069202,5.2,0.81,4.08,2.92,0.03,Medium Risk,100.0
448,Snap-on Inc,91440,5.16,1.02,8.41,2.46,1.62,Low Risk,100.0
449,ALBEMARLE CORP,915913,5.14,-0.51,16.37,9.445,0.61,Low Risk,80.0
450,"CoreWeave, Inc.",1769628,5.13,-1.17,49.3,45.97,3.13,High Risk,100.0
451,Amcor plc,1748790,5.08,0.51,37.07,25.33,0.83,Medium Risk,100.0
452,SYNOPSYS INC,883241,5.08,1.33,48.22,19.9,2.89,Low Risk,100.0
453,Permian Resources Corp,1658566,5.07,0.94,17.91,6.38,0.15,Low Risk,100.0
454,"ENSIGN GROUP, INC",1125376,5.06,0.34,5.46,3.23,0.5,Medium Risk,100.0
455,CARLISLE COMPANIES INC,790051,5.0,0.74,6.26,9.445,1.11,Low Risk,80.0
456,DECKERS OUTDOOR CORP,910521,4.99,0.97,3.57,9.445,1.89,Low Risk,80.0
457,GoDaddy Inc.,1609711,4.95,0.88,8.03,9.445,0.93,Low Risk,80.0
458,DOMINOS PIZZA INC,1286681,4.94,0.6,1.72,5.62,0.13,High Risk,100.0
459,"Zoom Communications, Inc.",1585521,4.87,1.9,11.96,2.15,1.27,Low Risk,100.0
460,NISOURCE INC.,1111711,4.87,0.93,35.86,9.445,0.11,Low Risk,80.0
461,Public Storage,1393311,4.82,1.78,20.21,10.87,0.32,Medium Risk,100.0
462,Brookfield Asset Management Ltd.,1937926,4.82,2.4,17.05,6.74,1.58,Low Risk,100.0
463,Carlyle Group Inc.,1527166,4.78,0.81,29.12,22.06,1.97,Medium Risk,100.0
464,CIENA CORP,936395,4.77,0.12,5.86,3.14,1.09,Medium Risk,100.0
465,Ares Management Corp,1176948,4.76,0.53,28.63,19.93,0.3725,Medium Risk,80.0
466,"Qnity Electronics, Inc.",2058873,4.75,0.98,14.07,6.7,0.92,Low Risk,80.0
467,"ROKU, INC",1428439,4.74,0.09,4.43,1.78,1.59,Low Risk,100.0
468,"TKO Group Holdings, Inc.",1973266,4.74,0.2,15.5,6.25,0.83,Low Risk,100.0
469,Wayfair Inc.,1616707,4.72,-0.31,3.44,6.22,1.48,High Risk,100.0
470,Elanco Animal Health Inc,1739104,4.71,-0.23,13.36,6.81,0.55,Medium Risk,100.0
471,ATMOS ENERGY CORP,731802,4.7,1.2,28.25,9.445,0.2,Low Risk,80.0
472,Hyatt Hotels Corp,1468174,4.68,-0.05,14.04,10.38,0.79,Medium Risk,100.0
473,TPG Inc.,1880661,4.67,0.18,13.49,9.36,0.83,Medium Risk,100.0
474,RB GLOBAL INC.,1046102,4.59,0.43,12.14,6.08,0.53,Medium Risk,100.0
475,TransUnion,1552033,4.58,0.46,11.11,6.57,0.85,Medium Risk,100.0
476,LOGITECH INTERNATIONAL S.A.,1032975,4.55,0.63,3.54,1.41,1.5,Low Risk,100.0
477,"CORPAY, INC.",1175454,4.53,1.07,26.41,9.445,2.41,Low Risk,80.0
478,IRON MOUNTAIN INC,1020569,4.49,-0.05,21.13,9.445,0.16,Low Risk,80.0
479,HEICO CORP,46619,4.49,0.69,8.5,3.65,0.14,Low Risk,100.0
480,Palantir Technologies Inc.,1321655,4.48,1.63,8.9,1.41,1.42,Low Risk,100.0
481,"Robinhood Markets, Inc.",1783879,4.47,1.88,38.14,28.99,4.26,Medium Risk,100.0
482,CACI INTERNATIONAL INC /DE/,16058,4.47,0.5,8.65,4.75,0.11,Medium Risk,100.0
483,"AGILENT TECHNOLOGIES, INC.",1090872,4.47,1.3,12.73,5.99,1.79,Low Risk,100.0
